subpop,date,amount,source_infection_stage,source_vaccination_stage,source_variant_type,source_age_strata,destination_infection_stage,destination_vaccination_stage,destination_variant_type,destination_age_strata
46000,2024-07-28,60161.08579999999,S,unvaccinated,AllFlu,age0to4,S,unvaccinated,AllFlu,age0to4
46000,2024-07-28,344424.39280000003,S,unvaccinated,AllFlu,age0to4,S,unvaccinated,AllFlu,age18to49
46000,2024-07-28,163070.4974,S,unvaccinated,AllFlu,age0to4,S,unvaccinated,AllFlu,age50to64
46000,2024-07-28,153493.4794,S,unvaccinated,AllFlu,age0to4,S,unvaccinated,AllFlu,age5to17
46000,2024-07-28,149488.5446,S,unvaccinated,AllFlu,age0to4,S,unvaccinated,AllFlu,age65to100
47000,2024-07-28,401219.4888,S,unvaccinated,AllFlu,age0to4,S,unvaccinated,AllFlu,age0to4
47000,2024-07-28,2797801.452,S,unvaccinated,AllFlu,age0to4,S,unvaccinated,AllFlu,age18to49
47000,2024-07-28,1304969.742,S,unvaccinated,AllFlu,age0to4,S,unvaccinated,AllFlu,age50to64
47000,2024-07-28,1082219.1228,S,unvaccinated,AllFlu,age0to4,S,unvaccinated,AllFlu,age5to17
47000,2024-07-28,1123146.1944,S,unvaccinated,AllFlu,age0to4,S,unvaccinated,AllFlu,age65to100
48000,2024-07-28,1941520.8072,S,unvaccinated,AllFlu,age0to4,S,unvaccinated,AllFlu,age0to4
48000,2024-07-28,12559124.4064,S,unvaccinated,AllFlu,age0to4,S,unvaccinated,AllFlu,age18to49
48000,2024-07-28,4849562.8896,S,unvaccinated,AllFlu,age0to4,S,unvaccinated,AllFlu,age50to64
48000,2024-07-28,5270649.644,S,unvaccinated,AllFlu,age0to4,S,unvaccinated,AllFlu,age5to17
48000,2024-07-28,3639998.2528,S,unvaccinated,AllFlu,age0to4,S,unvaccinated,AllFlu,age65to100
49000,2024-07-28,239386.35039999997,S,unvaccinated,AllFlu,age0to4,S,unvaccinated,AllFlu,age0to4
49000,2024-07-28,1404730.2528,S,unvaccinated,AllFlu,age0to4,S,unvaccinated,AllFlu,age18to49
49000,2024-07-28,439133.04640000005,S,unvaccinated,AllFlu,age0to4,S,unvaccinated,AllFlu,age50to64
49000,2024-07-28,660247.9936,S,unvaccinated,AllFlu,age0to4,S,unvaccinated,AllFlu,age5to17
49000,2024-07-28,353350.35679999995,S,unvaccinated,AllFlu,age0to4,S,unvaccinated,AllFlu,age65to100
51000,2024-07-28,500504.2096,S,unvaccinated,AllFlu,age0to4,S,unvaccinated,AllFlu,age0to4
51000,2024-07-28,3614282.9325,S,unvaccinated,AllFlu,age0to4,S,unvaccinated,AllFlu,age18to49
51000,2024-07-28,1651156.6239,S,unvaccinated,AllFlu,age0to4,S,unvaccinated,AllFlu,age50to64
51000,2024-07-28,1342568.7244,S,unvaccinated,AllFlu,age0to4,S,unvaccinated,AllFlu,age5to17
51000,2024-07-28,1345950.5096,S,unvaccinated,AllFlu,age0to4,S,unvaccinated,AllFlu,age65to100
50000,2024-07-28,29030.5545,S,unvaccinated,AllFlu,age0to4,S,unvaccinated,AllFlu,age0to4
50000,2024-07-28,248976.0244,S,unvaccinated,AllFlu,age0to4,S,unvaccinated,AllFlu,age18to49
50000,2024-07-28,136162.6653,S,unvaccinated,AllFlu,age0to4,S,unvaccinated,AllFlu,age50to64
